epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
138,6719.62,1.63019,0.87486,0.95146,0.67262,0.61117,0.63324,0.38699,1.58087,0.84183,0.93601,0.38699,0.00330462,0.00330462,0.00330462
139,6827.45,1.61606,0.86686,0.94609,0.67455,0.61202,0.63392,0.38748,1.57858,0.83992,0.9353,0.38748,0.00329225,0.00329225,0.00329225
140,6933.86,1.61817,0.87083,0.94789,0.67848,0.61061,0.63496,0.38809,1.57615,0.83789,0.93474,0.38809,0.00327988,0.00327988,0.00327988
141,7042.95,1.61427,0.87142,0.94438,0.67596,0.61237,0.63456,0.38866,1.57385,0.83594,0.93403,0.38866,0.0032675,0.0032675,0.0032675
142,7143.46,1.60169,0.8684,0.94521,0.67394,0.61318,0.63515,0.38896,1.57155,0.83416,0.93349,0.38896,0.00325512,0.00325512,0.00325512
143,7252.28,1.59881,0.86015,0.94539,0.67603,0.61261,0.63524,0.38934,1.56974,0.83256,0.93305,0.38934,0.00324275,0.00324275,0.00324275
144,7359.63,1.60274,0.86362,0.94376,0.67575,0.61382,0.63532,0.39,1.56809,0.83067,0.93256,0.39,0.00323038,0.00323038,0.00323038
145,7466.17,1.59433,0.8586,0.94135,0.67694,0.6156,0.63701,0.39096,1.56527,0.82882,0.93194,0.39096,0.003218,0.003218,0.003218
146,7560.79,1.60346,0.85688,0.94001,0.67609,0.61547,0.63698,0.39122,1.56357,0.8265,0.93177,0.39122,0.00320562,0.00320562,0.00320562
147,7652.71,1.59243,0.85898,0.93977,0.67804,0.6161,0.63749,0.39223,1.56148,0.82496,0.93118,0.39223,0.00319325,0.00319325,0.00319325
148,7749.61,1.5792,0.84691,0.93936,0.6845,0.61417,0.63915,0.39302,1.559,0.82348,0.93055,0.39302,0.00318088,0.00318088,0.00318088
149,7844.12,1.58221,0.84828,0.93799,0.68434,0.61494,0.63979,0.39361,1.55688,0.82152,0.93,0.39361,0.0031685,0.0031685,0.0031685
150,7941.19,1.58451,0.84847,0.93928,0.68336,0.61405,0.64036,0.39421,1.55446,0.81946,0.92933,0.39421,0.00315612,0.00315612,0.00315612
151,8037.18,1.59109,0.85,0.94045,0.6822,0.6158,0.64085,0.39512,1.55201,0.81733,0.92877,0.39512,0.00314375,0.00314375,0.00314375
152,8132.76,1.58225,0.84878,0.93777,0.68512,0.61598,0.64251,0.39552,1.54988,0.81568,0.92816,0.39552,0.00313138,0.00313138,0.00313138
153,8228.83,1.58557,0.85068,0.93817,0.68406,0.61562,0.64177,0.39606,1.54739,0.81385,0.92751,0.39606,0.003119,0.003119,0.003119
154,8326.26,1.57656,0.84164,0.9362,0.68744,0.61766,0.64326,0.39685,1.54508,0.81199,0.92696,0.39685,0.00310662,0.00310662,0.00310662
155,8426.49,1.57574,0.84134,0.93631,0.68939,0.61651,0.64337,0.39767,1.54212,0.81021,0.92627,0.39767,0.00309425,0.00309425,0.00309425
156,8526.62,1.57198,0.84021,0.93364,0.68844,0.61942,0.64448,0.39845,1.53988,0.80855,0.92553,0.39845,0.00308187,0.00308187,0.00308187
157,8624.82,1.56994,0.84061,0.9361,0.68922,0.61958,0.64525,0.39936,1.53711,0.80654,0.92503,0.39936,0.0030695,0.0030695,0.0030695
158,8724.15,1.55988,0.8359,0.93454,0.69049,0.62002,0.64577,0.40005,1.53491,0.80464,0.92438,0.40005,0.00305712,0.00305712,0.00305712
159,8822.72,1.55243,0.83158,0.93191,0.69188,0.61977,0.64594,0.40077,1.53221,0.80262,0.92382,0.40077,0.00304475,0.00304475,0.00304475
160,8903.86,1.56423,0.83489,0.93293,0.69421,0.61977,0.64723,0.4015,1.52996,0.80084,0.92319,0.4015,0.00303237,0.00303237,0.00303237
161,8986.5,1.55625,0.8299,0.93243,0.69157,0.62188,0.64846,0.40265,1.52748,0.79915,0.92266,0.40265,0.00302,0.00302,0.00302
162,9070.28,1.55811,0.83686,0.9299,0.69367,0.62093,0.64912,0.40326,1.52524,0.79736,0.92205,0.40326,0.00300762,0.00300762,0.00300762
163,9156.02,1.54996,0.82814,0.93056,0.69464,0.62212,0.64961,0.40353,1.52362,0.79582,0.92176,0.40353,0.00299525,0.00299525,0.00299525
164,9240.71,1.54907,0.82886,0.93307,0.69295,0.62306,0.65031,0.40416,1.52178,0.79437,0.9213,0.40416,0.00298288,0.00298288,0.00298288
165,9325.69,1.55125,0.82532,0.93041,0.69591,0.62435,0.65125,0.40504,1.51885,0.79225,0.92081,0.40504,0.0029705,0.0029705,0.0029705
166,9407.36,1.54141,0.82375,0.92772,0.69616,0.62657,0.65234,0.40574,1.51632,0.79036,0.92022,0.40574,0.00295813,0.00295813,0.00295813
