dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
dronevehicle,val,quality_gate070,3,0,1,1,1.0,47,47,0.21500578372543672,-0.6489207179687814,0.9787234042553191,1.1900741235146395,0.773980016799288,1.0,47,46,0.9787234042553191,0,0.0008749036438494827,0.0012852301953265937,0.053657756115546275,0.7498654033789052
dronevehicle,train,base,4,0,-1,1,1.0,15019,15018,-0.06426204733662604,0.1840607237180675,0.27238830814301884,0.6316782163096991,0.15053831517041252,0.6152873027498502,87,86,0.9885057471264368,7,0.0014520894887633706,0.0018751093981582054,0.08277331673332365,1.002316403343798
dronevehicle,train,n_iou_lt_070,4,0,-1,1,1.0,366,365,0.12829989419016696,-0.396388718444504,0.8142076502732241,1.0054184842686251,0.5759873667511557,0.9289617486338798,87,86,0.9885057471264368,7,0.0025432878684733635,0.003060785623706125,0.15374695694839396,0.9884709807606242
dronevehicle,train,quality_gate070,4,0,-1,1,1.0,87,87,0.18820676705557082,-0.62374433795254,1.0,1.1310849077514153,0.7645934760065348,1.0,87,86,0.9885057471264368,0,0.0013403337617378776,0.001944664795608362,0.07878324981343068,0.9372200861650981
dronevehicle,val,base,4,0,-1,1,1.0,2821,2821,-0.04781887225348425,0.144624865035398,0.3346331088266572,0.7167487539949228,0.19117634198114858,0.6309819213045019,47,47,1.0,3,0.0014864943332551898,0.0019165556826716145,0.08665640552531292,1.0131973422359124
dronevehicle,val,n_iou_lt_070,4,0,-1,1,1.0,229,229,0.1257925477196068,-0.41247388111423156,0.8209606986899564,0.9452690418670965,0.5806246456074021,0.9170305676855895,47,47,1.0,3,0.0019605946400945446,0.002526225808915224,0.12962563758764623,0.9433587745068621
dronevehicle,val,quality_gate070,4,0,-1,1,1.0,47,47,0.21027144197096173,-0.6641253070875044,0.9787234042553191,1.1676510127937343,0.7770050853479481,1.0,47,47,1.0,0,0.0010180208691839454,0.0014790469196691099,0.07810738110796933,0.7418111091513993
dronevehicle,train,base,5,1,1,1,1.4142135623730951,15019,15017,-0.0655477329701504,0.1634703408470366,0.21426193488248219,0.6135395952311876,0.1229671884398368,0.5881217124975031,87,76,0.8735632183908046,4,0.002299366828715066,0.0030951288724022567,0.12144255579000922,1.1842750683795487
dronevehicle,train,n_iou_lt_070,5,1,1,1,1.4142135623730951,366,366,0.11726342898007418,-0.4207419445964458,0.8005464480874317,0.918078331585874,0.5628936462077735,0.907103825136612,87,76,0.8735632183908046,4,0.0037292335047634474,0.004783765230572281,0.19860355781434036,0.9902068288775467
dronevehicle,train,quality_gate070,5,1,1,1,1.4142135623730951,87,87,0.1542874846912834,-0.5813006524084426,0.9655172413793104,1.023272667609683,0.7333558471156216,1.0,87,76,0.8735632183908046,0,0.003149724315535247,0.004394753949652152,0.15202196382244357,0.972429192485194
dronevehicle,val,base,5,1,1,1,1.4142135623730951,2821,2820,-0.04424190541685833,0.11401529745773334,0.2995391705069124,0.6939068053765125,0.18464499959197828,0.6320453739808578,47,44,0.9361702127659575,1,0.002180997038224106,0.0030241771464511475,0.11618977172990017,0.9975083453444995
